year,month,district,temperature,humidity,rainfall_mm,wind_speed,condition
2020,2,Bhandara,27,88,7,11,Cloudy
2020,2,Buldhana,34,51,10,5,Cloudy
2020,2,Chandrapur,38,81,10,12,Cloudy
2020,2,Dhule,38,75,4,12,Cloudy
2020,2,Gadchiroli,31,84,20,10,Cloudy
2020,2,Gondia,22,41,8,7,Cloudy
2020,2,Hingoli,36,94,12,2,Cloudy
2020,2,Jalgaon,34,55,19,8,Cloudy
2020,2,Jalna,37,51,12,9,Cloudy
2020,2,Kolhapur,28,92,9,12,Cloudy
2020,2,Latur,38,93,9,6,Cloudy
2020,2,Mumbai City,27,64,19,9,Cloudy
2020,2,Mumbai Suburban,29,88,0,12,Cloudy
2020,2,Nagpur,20,90,18,9,Cloudy
2020,2,Nanded,24,89,1,3,Cloudy
2020,2,Nandurbar,33,66,20,8,Cloudy
2020,2,Nashik,29,89,14,11,Cloudy
2020,2,Osmanabad,30,60,19,10,Cloudy
2020,2,Palghar,35,42,7,3,Cloudy
2020,2,Parbhani,30,49,19,11,Cloudy
2020,2,Pune,36,92,18,3,Cloudy
2020,2,Raigad,30,72,5,4,Cloudy
2020,2,Ratnagiri,30,44,5,3,Cloudy
2020,2,Sangli,35,92,1,10,Cloudy
2020,2,Satara,28,86,5,9,Cloudy
2020,2,Sindhudurg,30,45,1,11,Cloudy
2020,2,Solapur,27,76,8,12,Cloudy
2020,2,Thane,25,66,0,8,Cloudy
2020,2,Wardha,20,57,15,7,Cloudy
2020,2,Washim,34,44,18,7,Cloudy
2020,2,Yavatmal,33,72,19,6,Cloudy
2020,3,Ahmednagar,21,55,1,2,Hot
2020,3,Akola,25,94,3,12,Hot
2020,3,Amravati,26,77,7,6,Hot
2020,3,Aurangabad,26,93,7,10,Hot
2020,3,Beed,29,60,10,5,Hot
2020,3,Bhandara,33,88,10,10,Hot
2020,3,Buldhana,31,84,9,5,Hot
2020,3,Chandrapur,26,77,3,3,Hot
2020,3,Dhule,20,68,8,4,Hot
2020,3,Gadchiroli,37,66,10,10,Hot
2020,3,Gondia,35,54,6,6,Hot
2020,3,Hingoli,36,65,10,7,Hot
2020,3,Jalgaon,32,45,10,6,Hot
2020,3,Jalna,34,94,10,10,Hot
2020,3,Kolhapur,37,69,2,4,Hot
2020,3,Latur,21,79,10,10,Hot
2020,3,Mumbai City,20,64,5,2,Hot
2020,3,Mumbai Suburban,32,48,1,2,Hot
2020,3,Nagpur,22,90,1,10,Hot
2020,3,Nanded,27,76,0,6,Hot
2020,3,Nandurbar,34,55,9,12,Hot
2020,3,Nashik,31,95,1,11,Hot
2020,3,Osmanabad,21,44,4,7,Hot
2020,3,Palghar,34,66,0,9,Hot
2020,3,Parbhani,23,57,5,8,Hot
2020,3,Pune,33,91,10,9,Hot
2020,3,Raigad,36,50,0,6,Hot
2020,3,Ratnagiri,37,72,1,11,Hot
2020,3,Sangli,20,46,9,7,Hot
2020,3,Satara,27,79,1,4,Hot
2020,3,Sindhudurg,27,50,3,2,Hot
2020,3,Solapur,28,86,3,11,Hot
2020,3,Thane,31,49,8,3,Hot
2020,3,Wardha,29,42,1,3,Hot
2020,3,Washim,23,79,5,2,Hot
2020,3,Yavatmal,23,53,9,2,Hot
2020,4,Ahmednagar,25,51,4,10,Hot
2020,4,Akola,30,56,0,5,Hot
2020,4,Amravati,22,62,5,2,Hot
2020,4,Aurangabad,35,50,8,10,Hot
2020,4,Beed,31,74,9,9,Hot
2020,4,Bhandara,35,70,9,5,Hot
2020,4,Buldhana,29,78,10,2,Hot
2020,4,Chandrapur,27,79,1,6,Hot
2020,4,Dhule,24,93,4,11,Hot
2020,4,Gadchiroli,29,62,1,5,Hot
2020,4,Gondia,28,76,7,6,Hot
2020,4,Hingoli,32,86,7,3,Hot
2020,4,Jalgaon,35,79,8,3,Hot
2020,4,Jalna,20,89,8,8,Hot
2020,4,Kolhapur,27,61,1,12,Hot
2020,4,Latur,20,46,7,3,Hot
2020,4,Mumbai City,21,69,3,11,Hot
2020,4,Mumbai Suburban,36,85,4,11,Hot
2020,4,Nagpur,32,50,8,10,Hot
2020,4,Nanded,34,67,9,9,Hot
2020,4,Nandurbar,26,81,5,9,Hot
2020,4,Nashik,29,95,2,2,Hot
2020,4,Osmanabad,28,94,1,8,Hot
2020,4,Palghar,38,48,7,3,Hot
2020,4,Parbhani,38,70,6,9,Hot
2020,4,Pune,30,54,1,9,Hot
2020,4,Raigad,32,43,4,4,Hot
2020,4,Ratnagiri,23,67,8,9,Hot
2020,4,Sangli,35,88,8,10,Hot
2020,4,Satara,26,52,6,12,Hot
2020,4,Sindhudurg,36,72,6,11,Hot
2020,4,Solapur,27,74,1,10,Hot
2020,4,Thane,34,51,9,7,Hot
2020,4,Wardha,37,48,6,7,Hot
2020,4,Washim,23,50,7,7,Hot
2020,4,Yavatmal,36,63,10,12,Hot
2020,5,Ahmednagar,31,40,3,8,Hot
2020,5,Akola,23,77,7,6,Hot
2020,5,Amravati,22,92,9,7,Hot
2020,5,Aurangabad,35,88,3,11,Hot
2020,5,Beed,35,79,3,9,Hot
2020,5,Bhandara,36,90,10,9,Hot
2020,5,Buldhana,36,55,1,3,Hot
2020,5,Chandrapur,33,56,6,11,Hot
2020,5,Dhule,25,68,0,6,Hot
2020,5,Gadchiroli,34,84,0,11,Hot
2020,5,Gondia,22,87,3,9,Hot
2020,5,Hingoli,23,68,2,2,Hot
2020,5,Jalgaon,33,63,4,8,Hot
2020,5,Jalna,34,47,3,3,Hot
2020,5,Kolhapur,29,83,6,8,Hot
2020,5,Latur,38,56,9,9,Hot
2020,5,Mumbai City,29,55,8,12,Hot
2020,5,Mumbai Suburban,35,85,8,8,Hot
2020,5,Nagpur,31,51,3,5,Hot
2020,5,Nanded,22,92,7,12,Hot
2020,5,Nandurbar,28,44,2,4,Hot
2020,5,Nashik,31,40,3,3,Hot
2020,5,Osmanabad,35,46,1,11,Hot
2020,5,Palghar,32,45,7,6,Hot
2020,5,Parbhani,34,41,9,9,Hot
2020,5,Pune,22,79,0,6,Hot
2020,5,Raigad,36,66,1,12,Hot
2020,5,Ratnagiri,22,43,7,2,Hot
2020,5,Sangli,20,93,3,9,Hot
2020,5,Satara,32,75,6,4,Hot
2020,5,Sindhudurg,35,94,4,4,Hot
2020,5,Solapur,28,81,7,3,Hot
2020,5,Thane,24,57,2,4,Hot
2020,5,Wardha,34,71,1,7,Hot
2020,5,Washim,20,53,5,3,Hot
2020,5,Yavatmal,38,57,2,2,Hot
2020,6,Ahmednagar,32,83,325,6,Rain
2020,6,Akola,36,92,204,5,Rain
2020,6,Amravati,34,94,302,6,Rain
2020,6,Aurangabad,30,59,335,11,Rain
2020,6,Beed,31,94,127,5,Rain
2020,6,Bhandara,20,81,379,7,Rain
2020,6,Buldhana,21,79,248,7,Rain
2020,6,Chandrapur,32,73,176,5,Rain
2020,6,Dhule,33,45,261,5,Rain
2020,6,Gadchiroli,20,71,191,12,Rain
2020,6,Gondia,38,67,315,12,Rain
2020,6,Hingoli,28,92,213,5,Rain
2020,6,Jalgaon,31,83,119,2,Rain
2020,6,Jalna,33,70,383,2,Rain
2020,6,Kolhapur,31,84,371,12,Rain
2020,6,Latur,28,74,185,7,Rain
2020,6,Mumbai City,21,81,273,10,Rain
2020,6,Mumbai Suburban,24,79,207,12,Rain
2020,6,Nagpur,34,80,296,11,Rain
2020,6,Nanded,21,68,168,8,Rain
2020,6,Nandurbar,38,44,148,6,Rain
2020,6,Nashik,35,82,324,9,Rain
2020,6,Osmanabad,34,58,338,7,Rain
2020,6,Palghar,33,40,100,3,Rain
2020,6,Parbhani,35,92,383,3,Rain
2020,6,Pune,21,63,239,2,Rain
2020,6,Raigad,23,64,221,8,Rain
2020,6,Ratnagiri,25,91,108,12,Rain
2020,6,Sangli,33,52,393,12,Rain
2020,6,Satara,24,88,266,3,Rain
2020,6,Sindhudurg,30,51,157,11,Rain
2020,6,Solapur,33,71,142,8,Rain
2020,6,Thane,22,84,125,10,Rain
2020,6,Wardha,30,49,379,12,Rain
2020,6,Washim,38,49,329,6,Rain
2020,6,Yavatmal,22,42,323,6,Rain
2020,7,Ahmednagar,34,83,123,5,Rain
2020,7,Akola,31,42,101,3,Rain
2020,7,Amravati,29,71,207,2,Rain
2020,7,Aurangabad,34,49,338,3,Rain
2020,7,Beed,28,83,274,4,Rain
2020,7,Bhandara,27,66,389,10,Rain
2020,7,Buldhana,32,84,347,11,Rain
2020,7,Chandrapur,22,92,253,5,Rain
2020,7,Dhule,34,74,381,9,Rain
2020,7,Gadchiroli,37,51,319,6,Rain
2020,7,Gondia,24,45,193,5,Rain
2020,7,Hingoli,23,88,250,3,Rain
2020,7,Jalgaon,28,46,379,5,Rain
2020,7,Jalna,33,49,347,12,Rain
2020,7,Kolhapur,20,64,119,5,Rain
2020,7,Latur,36,54,265,9,Rain
2020,7,Mumbai City,34,68,318,11,Rain
2020,7,Mumbai Suburban,33,87,378,12,Rain
2020,7,Nagpur,32,88,234,4,Rain
2020,7,Nanded,34,54,346,5,Rain
2020,7,Nandurbar,21,71,270,12,Rain
2020,7,Nashik,38,58,128,12,Rain
2020,7,Osmanabad,29,79,314,8,Rain
2020,7,Palghar,31,44,332,3,Rain
2020,7,Parbhani,32,84,328,5,Rain
2020,7,Pune,34,62,375,10,Rain
2020,7,Raigad,20,73,111,10,Rain
2020,7,Ratnagiri,31,90,148,12,Rain
2020,7,Sangli,22,85,204,6,Rain
2020,7,Satara,23,87,144,9,Rain
2020,7,Sindhudurg,21,72,105,11,Rain
2020,7,Solapur,26,84,285,2,Rain
2020,7,Thane,25,52,374,3,Rain
2020,7,Wardha,27,57,108,4,Rain
2020,7,Washim,20,49,150,11,Rain
2020,7,Yavatmal,26,92,101,9,Rain
2020,8,Ahmednagar,32,62,152,2,Rain
2020,8,Akola,27,46,328,10,Rain
2020,8,Amravati,20,45,246,4,Rain
2020,8,Aurangabad,27,91,136,12,Rain
2020,8,Beed,37,67,219,4,Rain
2020,8,Bhandara,21,79,225,2,Rain
2020,8,Buldhana,34,79,258,7,Rain
2020,8,Chandrapur,32,70,346,6,Rain
2020,8,Dhule,24,75,248,6,Rain
2020,8,Gadchiroli,32,80,164,2,Rain
2020,8,Gondia,20,48,162,11,Rain
2020,8,Hingoli,36,46,188,11,Rain
2020,8,Jalgaon,38,79,247,8,Rain
2020,8,Jalna,32,76,295,9,Rain
2020,8,Kolhapur,22,56,125,2,Rain
2020,8,Latur,28,63,260,5,Rain
2020,8,Mumbai City,26,85,152,5,Rain
2020,8,Mumbai Suburban,27,71,321,10,Rain
2020,8,Nagpur,38,85,285,8,Rain
2020,8,Nanded,28,90,283,5,Rain
2020,8,Nandurbar,23,65,239,8,Rain
2020,8,Nashik,36,54,137,5,Rain
2020,8,Osmanabad,32,68,107,9,Rain
2020,8,Palghar,27,53,102,9,Rain
2020,8,Parbhani,31,72,106,2,Rain
2020,8,Pune,32,79,203,12,Rain
2020,8,Raigad,30,72,276,2,Rain
2020,8,Ratnagiri,32,52,287,5,Rain
2020,8,Sangli,34,53,107,8,Rain
2020,8,Satara,34,92,202,8,Rain
2020,8,Sindhudurg,22,55,146,11,Rain
2020,8,Solapur,26,52,395,10,Rain
2020,8,Thane,26,52,186,6,Rain
2020,8,Wardha,33,55,122,12,Rain
2020,8,Washim,25,75,394,7,Rain
2020,8,Yavatmal,25,56,141,2,Rain
2020,9,Ahmednagar,31,93,374,8,Rain
2020,9,Akola,36,76,152,8,Rain
2020,9,Amravati,24,40,277,2,Rain
2020,9,Aurangabad,23,50,355,9,Rain
2020,9,Beed,38,49,313,6,Rain
2020,9,Bhandara,30,88,333,7,Rain
2020,9,Buldhana,38,79,189,10,Rain
2020,9,Chandrapur,29,74,165,11,Rain
2020,9,Dhule,27,50,355,4,Rain
2020,9,Gadchiroli,35,45,105,2,Rain
2020,9,Gondia,30,66,199,4,Rain
2020,9,Hingoli,25,66,311,7,Rain
2020,9,Jalgaon,25,57,130,3,Rain
2020,9,Jalna,30,48,213,12,Rain
2020,9,Kolhapur,32,90,310,10,Rain
2020,9,Latur,30,43,385,2,Rain
2020,9,Mumbai City,28,92,373,3,Rain
2020,9,Mumbai Suburban,38,88,339,9,Rain
2020,9,Nagpur,36,61,330,2,Rain
2020,9,Nanded,34,53,294,5,Rain
2020,9,Nandurbar,28,71,280,4,Rain
2020,9,Nashik,20,73,371,9,Rain
2020,9,Osmanabad,38,82,253,12,Rain
2020,9,Palghar,26,68,372,7,Rain
2020,9,Parbhani,27,63,396,3,Rain
2020,9,Pune,21,87,399,5,Rain
2020,9,Raigad,25,77,255,7,Rain
2020,9,Ratnagiri,22,89,273,11,Rain
2020,9,Sangli,26,60,332,11,Rain
2020,9,Satara,28,56,281,6,Rain
2020,9,Sindhudurg,37,45,197,4,Rain
2020,9,Solapur,29,60,280,9,Rain
2020,9,Thane,33,58,389,4,Rain
2020,9,Wardha,31,92,192,9,Rain
2020,9,Washim,36,69,224,10,Rain
2020,9,Yavatmal,32,43,308,2,Rain
2020,10,Ahmednagar,32,94,17,4,Cloudy
2020,10,Akola,21,66,5,2,Cloudy
2020,10,Amravati,20,93,19,3,Cloudy
2020,10,Aurangabad,23,45,17,4,Cloudy
2020,10,Beed,26,61,16,6,Cloudy
2020,10,Bhandara,28,43,5,7,Cloudy
2020,10,Buldhana,29,51,14,12,Cloudy
2020,10,Chandrapur,22,47,9,6,Cloudy
2020,10,Dhule,22,78,11,7,Cloudy
2020,10,Gadchiroli,23,88,1,2,Cloudy
2020,10,Gondia,28,41,5,10,Cloudy
2020,10,Hingoli,20,44,4,7,Cloudy
2020,10,Jalgaon,25,63,12,8,Cloudy
2020,10,Jalna,34,93,3,3,Cloudy
2020,10,Kolhapur,34,59,11,9,Cloudy
2020,10,Latur,27,61,4,4,Cloudy
2020,10,Mumbai City,35,95,5,2,Cloudy
2020,10,Mumbai Suburban,36,56,20,7,Cloudy
2020,10,Nagpur,28,58,10,4,Cloudy
2020,10,Nanded,31,82,19,7,Cloudy
2020,10,Nandurbar,21,77,6,5,Cloudy
2020,10,Nashik,36,42,10,10,Cloudy
2020,10,Osmanabad,28,81,12,8,Cloudy
2020,10,Palghar,33,68,7,10,Cloudy
2020,10,Parbhani,26,47,19,2,Cloudy
2020,10,Pune,34,79,11,4,Cloudy
2020,10,Raigad,28,69,1,2,Cloudy
2020,10,Ratnagiri,32,83,6,8,Cloudy
2020,10,Sangli,30,46,20,6,Cloudy
2020,10,Satara,29,43,7,9,Cloudy
2020,10,Sindhudurg,24,56,1,7,Cloudy
2020,10,Solapur,31,55,1,10,Cloudy
2020,10,Thane,36,75,4,8,Cloudy
2020,10,Wardha,38,60,18,10,Cloudy
2020,10,Washim,26,60,14,6,Cloudy
2020,10,Yavatmal,23,53,5,9,Cloudy
2020,11,Ahmednagar,22,42,18,11,Cloudy
2020,11,Akola,29,45,9,11,Cloudy
2020,11,Amravati,32,57,4,5,Cloudy
2020,11,Aurangabad,35,52,9,8,Cloudy
2020,11,Beed,30,68,20,5,Cloudy
2020,11,Bhandara,20,77,1,3,Cloudy
2020,11,Buldhana,22,89,11,6,Cloudy
2020,11,Chandrapur,24,49,2,9,Cloudy
2020,11,Dhule,20,89,15,10,Cloudy
2020,11,Gadchiroli,24,78,20,3,Cloudy
2020,11,Gondia,22,66,0,8,Cloudy
2020,11,Hingoli,21,64,6,8,Cloudy
2020,11,Jalgaon,27,43,8,2,Cloudy
2020,11,Jalna,23,75,4,6,Cloudy
2020,11,Kolhapur,24,49,0,7,Cloudy
2020,11,Latur,33,46,12,2,Cloudy
2020,11,Mumbai City,23,71,20,10,Cloudy
2020,11,Mumbai Suburban,37,64,12,3,Cloudy
2020,11,Nagpur,36,72,3,3,Cloudy
2020,11,Nanded,21,80,2,3,Cloudy
2020,11,Nandurbar,30,76,15,12,Cloudy
2020,11,Nashik,34,59,2,8,Cloudy
2020,11,Osmanabad,21,94,20,9,Cloudy
2020,11,Palghar,25,53,13,10,Cloudy
2020,11,Parbhani,24,88,16,4,Cloudy
2020,11,Pune,28,54,17,3,Cloudy
2020,11,Raigad,21,65,9,7,Cloudy
2020,11,Ratnagiri,35,82,4,7,Cloudy
2020,11,Sangli,32,84,17,8,Cloudy
2020,11,Satara,33,71,5,5,Cloudy
2020,11,Sindhudurg,29,44,5,12,Cloudy
2020,11,Solapur,32,58,11,8,Cloudy
2020,11,Thane,32,92,9,4,Cloudy
2020,11,Wardha,36,41,18,7,Cloudy
2020,11,Washim,26,40,14,3,Cloudy
2020,11,Yavatmal,28,56,14,3,Cloudy
2020,12,Ahmednagar,25,46,1,4,Cloudy
2020,12,Akola,35,93,5,8,Cloudy
2020,12,Amravati,33,70,4,6,Cloudy
2020,12,Aurangabad,28,77,15,6,Cloudy
2020,12,Beed,38,76,5,11,Cloudy
2020,12,Bhandara,20,80,19,9,Cloudy
2020,12,Buldhana,20,41,3,8,Cloudy
2020,12,Chandrapur,35,84,20,10,Cloudy
2020,12,Dhule,32,66,15,11,Cloudy
2020,12,Gadchiroli,24,54,9,4,Cloudy
2020,12,Gondia,30,91,0,4,Cloudy
2020,12,Hingoli,24,84,13,9,Cloudy
2020,12,Jalgaon,29,89,18,9,Cloudy
2020,12,Jalna,24,74,6,10,Cloudy
2020,12,Kolhapur,22,75,7,9,Cloudy
2020,12,Latur,35,81,7,3,Cloudy
2020,12,Mumbai City,34,45,19,10,Cloudy
2020,12,Mumbai Suburban,23,68,12,10,Cloudy
2020,12,Nagpur,34,90,20,5,Cloudy
2020,12,Nanded,25,93,17,7,Cloudy
2020,12,Nandurbar,31,82,14,11,Cloudy
2020,12,Nashik,37,56,4,3,Cloudy
2020,12,Osmanabad,29,91,16,12,Cloudy
2020,12,Palghar,32,50,20,5,Cloudy
2020,12,Parbhani,33,53,19,5,Cloudy
2020,12,Pune,33,44,0,8,Cloudy
2020,12,Raigad,20,53,7,12,Cloudy
2020,12,Ratnagiri,35,60,18,10,Cloudy
2020,12,Sangli,23,87,5,7,Cloudy
2020,12,Satara,25,76,2,2,Cloudy
2020,12,Sindhudurg,24,78,7,3,Cloudy
2020,12,Solapur,27,45,19,12,Cloudy
2020,12,Thane,31,85,17,11,Cloudy
2020,12,Wardha,23,69,0,12,Cloudy
2020,12,Washim,31,73,9,12,Cloudy
2020,12,Yavatmal,27,86,12,12,Cloudy
2021,1,Ahmednagar,22,43,19,5,Cloudy
2021,1,Akola,23,51,0,5,Cloudy
2021,1,Amravati,20,86,11,9,Cloudy
2021,1,Aurangabad,21,46,19,9,Cloudy
2021,1,Beed,26,91,1,3,Cloudy
2021,1,Bhandara,22,40,11,8,Cloudy
2021,1,Buldhana,29,65,15,7,Cloudy
2021,1,Chandrapur,31,83,20,10,Cloudy
2021,1,Dhule,28,59,1,4,Cloudy
2021,1,Gadchiroli,32,73,15,9,Cloudy
2021,1,Gondia,29,87,15,12,Cloudy
2021,1,Hingoli,33,74,18,6,Cloudy
2021,1,Jalgaon,24,80,4,3,Cloudy
2021,1,Jalna,37,80,14,2,Cloudy
2021,1,Kolhapur,28,64,11,5,Cloudy
2021,1,Latur,36,45,15,3,Cloudy
2021,1,Mumbai City,22,47,6,10,Cloudy
2021,1,Mumbai Suburban,36,63,1,8,Cloudy
2021,1,Nagpur,32,75,15,12,Cloudy
2021,1,Nanded,21,87,9,12,Cloudy
2021,1,Nandurbar,27,51,9,3,Cloudy
2021,1,Nashik,21,55,8,7,Cloudy
2021,1,Osmanabad,37,55,5,3,Cloudy
2021,1,Palghar,27,89,16,10,Cloudy
2021,1,Parbhani,24,40,1,11,Cloudy
2021,1,Pune,33,83,10,5,Cloudy
2021,1,Raigad,21,41,0,8,Cloudy
2021,1,Ratnagiri,37,47,1,6,Cloudy
2021,1,Sangli,32,43,20,2,Cloudy
2021,1,Satara,37,85,16,2,Cloudy
2021,1,Sindhudurg,23,55,5,5,Cloudy
2021,1,Solapur,28,72,4,8,Cloudy
2021,1,Thane,31,88,14,5,Cloudy
2021,1,Wardha,23,60,12,10,Cloudy
2021,1,Washim,25,92,14,2,Cloudy
2021,1,Yavatmal,23,87,14,12,Cloudy
2021,2,Ahmednagar,37,70,10,12,Cloudy
2021,2,Akola,25,80,17,5,Cloudy
2021,2,Amravati,21,55,16,10,Cloudy
2021,2,Aurangabad,32,95,16,11,Cloudy
2021,2,Beed,36,62,4,6,Cloudy
2021,2,Bhandara,32,44,4,6,Cloudy
2021,2,Buldhana,35,81,12,3,Cloudy
2021,2,Chandrapur,26,75,7,2,Cloudy
2021,2,Dhule,28,55,14,3,Cloudy
2021,2,Gadchiroli,31,41,20,5,Cloudy
2021,2,Gondia,23,89,8,3,Cloudy
2021,2,Hingoli,32,55,14,5,Cloudy
2021,2,Jalgaon,38,53,9,3,Cloudy
2021,2,Jalna,28,95,20,8,Cloudy
2021,2,Kolhapur,24,57,7,12,Cloudy
2021,2,Latur,25,92,9,6,Cloudy
2021,2,Mumbai City,30,44,14,2,Cloudy
2021,2,Mumbai Suburban,29,89,1,10,Cloudy
2021,2,Nagpur,27,88,15,6,Cloudy
2021,2,Nanded,25,74,9,4,Cloudy
2021,2,Nandurbar,24,51,15,8,Cloudy
2021,2,Nashik,27,86,13,8,Cloudy
2021,2,Osmanabad,25,88,1,2,Cloudy
2021,2,Palghar,36,85,8,5,Cloudy
2021,2,Parbhani,29,41,16,10,Cloudy
2021,2,Pune,21,69,20,10,Cloudy
2021,2,Raigad,32,60,20,6,Cloudy
2021,2,Ratnagiri,29,89,13,11,Cloudy
2021,2,Sangli,20,60,6,8,Cloudy
2021,2,Satara,27,90,14,6,Cloudy
2021,2,Sindhudurg,37,45,6,11,Cloudy
2021,2,Solapur,21,57,7,5,Cloudy
2021,2,Thane,32,74,14,6,Cloudy
2021,2,Wardha,30,76,9,12,Cloudy
2021,2,Washim,35,80,0,3,Cloudy
2021,2,Yavatmal,30,46,15,2,Cloudy
2021,3,Ahmednagar,36,54,2,7,Hot
2021,3,Akola,21,60,10,2,Hot
2021,3,Amravati,24,84,7,8,Hot
2021,3,Aurangabad,36,76,7,7,Hot
2021,3,Beed,23,80,6,2,Hot
2021,3,Bhandara,31,58,8,9,Hot
2021,3,Buldhana,30,53,6,3,Hot
2021,3,Chandrapur,20,55,9,12,Hot
2021,3,Dhule,37,70,4,8,Hot
2021,3,Gadchiroli,37,52,8,4,Hot
2021,3,Gondia,28,49,0,11,Hot
2021,3,Hingoli,36,76,10,4,Hot
2021,3,Jalgaon,27,72,6,3,Hot
2021,3,Jalna,20,82,8,12,Hot
2021,3,Kolhapur,38,89,4,3,Hot
2021,3,Latur,22,75,7,3,Hot
2021,3,Mumbai City,28,83,6,5,Hot
2021,3,Mumbai Suburban,27,45,8,7,Hot
2021,3,Nagpur,25,48,9,6,Hot
2021,3,Nanded,34,40,0,11,Hot
2021,3,Nandurbar,24,47,5,2,Hot
2021,3,Nashik,23,78,8,5,Hot
2021,3,Osmanabad,30,59,1,11,Hot
2021,3,Palghar,33,46,6,2,Hot
2021,3,Parbhani,25,48,9,6,Hot
2021,3,Pune,33,55,1,3,Hot
2021,3,Raigad,31,48,0,6,Hot
2021,3,Ratnagiri,31,61,3,8,Hot
2021,3,Sangli,29,54,7,4,Hot
2021,3,Satara,22,52,5,11,Hot
2021,3,Sindhudurg,32,66,1,12,Hot
2021,3,Solapur,23,46,3,11,Hot
2021,3,Thane,32,82,2,4,Hot
2021,3,Wardha,38,41,0,8,Hot
2021,3,Washim,24,60,10,7,Hot
2021,3,Yavatmal,30,49,8,7,Hot
2021,4,Ahmednagar,27,82,8,8,Hot
2021,4,Akola,26,46,6,12,Hot
2021,4,Amravati,22,69,1,10,Hot
2021,4,Aurangabad,27,51,10,12,Hot
2021,4,Beed,22,79,7,2,Hot
2021,4,Bhandara,38,94,10,10,Hot
2021,4,Buldhana,20,77,8,5,Hot
2021,4,Chandrapur,31,69,9,3,Hot
2021,4,Dhule,21,56,6,5,Hot
2021,4,Gadchiroli,24,81,8,4,Hot
2021,4,Gondia,20,76,6,5,Hot
2021,4,Hingoli,30,66,2,9,Hot
2021,4,Jalgaon,26,84,4,8,Hot
2021,4,Jalna,23,51,9,6,Hot
2021,4,Kolhapur,25,65,10,9,Hot
2021,4,Latur,22,68,0,3,Hot
2021,4,Mumbai City,21,44,9,8,Hot
2021,4,Mumbai Suburban,23,65,0,5,Hot
2021,4,Nagpur,26,60,8,11,Hot
2021,4,Nanded,34,82,6,6,Hot
2021,4,Nandurbar,37,56,0,9,Hot
2021,4,Nashik,37,74,5,7,Hot
2021,4,Osmanabad,32,91,5,5,Hot
2021,4,Palghar,31,69,1,8,Hot
2021,4,Parbhani,22,67,4,8,Hot
2021,4,Pune,27,72,4,5,Hot
2021,4,Raigad,36,43,6,10,Hot
2021,4,Ratnagiri,22,84,10,9,Hot
2021,4,Sangli,22,42,9,7,Hot
2021,4,Satara,27,75,2,7,Hot
2021,4,Sindhudurg,24,67,8,2,Hot
2021,4,Solapur,27,92,7,3,Hot
2021,4,Thane,35,67,4,7,Hot
2021,4,Wardha,31,43,5,12,Hot
2021,4,Washim,37,85,1,6,Hot
2021,4,Yavatmal,22,66,5,3,Hot
2021,5,Ahmednagar,33,78,2,7,Hot
2021,5,Akola,38,70,4,6,Hot
2021,5,Amravati,33,41,6,2,Hot
2021,5,Aurangabad,33,42,0,2,Hot
2021,5,Beed,21,80,2,12,Hot
2021,5,Bhandara,27,50,4,7,Hot
2021,5,Buldhana,21,95,1,2,Hot
2021,5,Chandrapur,28,74,9,8,Hot
2021,5,Dhule,23,82,6,2,Hot
2021,5,Gadchiroli,36,73,2,5,Hot
2021,5,Gondia,31,54,8,4,Hot
